,Site,Tag
33,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/les-ateliers-de-bentenac.html,Effectifs : 15 EXTERNES
34,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/safep-et-saaais-de-la-federation-des-aveugles-et-amblyopes-de-france-lr-faf-lr.html,Effectifs : 80 SUIVIS DONT 52 DANS L'HERAULT
35,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/safep-et-ssefis-de-lassociation-regionale-pour-lintegration-et-leducation-des-deficients-auditifs.html,Effectifs : 163 SUIVIS (Région Languedoc-Roussillon)
36,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/safep-et-ssefis-du-centre-deducation-specialisee-pour-deficients-auditifs-cesda-34.html,Effectifs : 65 SUIVIS
37,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/safep-et-ssefis-du-centre-de-reeducation-de-louie-et-de-la-parole-crop-paul-bouvier.html,Effectifs : 165 suivis
38,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/sessad-boreal.html,Effectifs : 15 SUIVIS
39,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/sessad-de-lagathois.html,Effectifs : 16 SUIVIS
40,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/sessad-de-la-maison-de-sol-n.html,Effectifs : 25 SUIVIS
41,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/sessad-du-centre-bourneville.html,Effectifs : 51 SUIVIS
42,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/sessad-eole.html,Effectifs : 30 SUIVIS
43,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/sessad-fontcaude.html,Effectifs : 22 SUIVIS
44,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/sessad-institut-campestre.html,Effectifs : 33 SUIVIS
45,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/sessad-lensoleillade.html,Effectifs : 20 SUIVIS
46,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/sessad-lombrelle.html,Effectifs : 37 SUIVIS
47,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/sessad-la-cardabelle.html,Effectifs : 30 SUIVIS
48,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/sessad-la-corniche.html,Effectifs : 20 SUIVIS
49,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/sessad-la-domitienne.html,Effectifs : 8 SUIVIS
50,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/sessad-la-pinede.html,Effectifs : 25 SUIVIS
51,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/sessad-le-languedoc.html,Effectifs : 40 SUIVIS
52,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/sessad-les-hirondelles.html,Effectifs : 15 SUIVIS
53,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/sessad-les-pescalunes.html,Effectifs : 18 SUIVIS
54,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/sessad-marcel-foucault.html,Effectifs : 40 SUIVIS
55,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/sessad-nazareth.html,Effectifs : 17 SUIVIS
56,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/sessad-notre-dame-de-la-salette.html,Effectifs : 20 SUIVIS
57,http://www.mdph34.fr/annuaire-des-structures/annuaire-esms/fiche-dune-structure/sessad-parents-these.html,Effectifs : 19 SUIVIS
